	ketene (A)	ethanol (A)	Acetaldehyde (A)	acetone (A)	Acetic acid (A)	acetic anhydride (A)				
Injection date	Peak area	Peak area	Peak area	Peak area	Peak area	Peak area	T	N2	H2	aa
0	58806.704	9279.369	3180.826	15088.598	261.83	41.2	300	109	28	7
4	69370.033	7627.751	3180.274	6231.917	53808.337	316.525	300	109	28	7
8	69113.138	8694.967	5195.606	7983.116	14249.334	1861.664	300	109	28	7
12	66025.061	6753.365	2603.954	5443.344	206.461	987.453	300	109	28	7
16	65954.798	10240.008	5666.323	7719.566	17114.797	18499.627	300	109	28	7
20	23962.428	7547.421	138297.518	432667.615	9632479.36	27949.911	300	109	28	7
24	25585.31	9980.387	171233.374	426290.496	9296945.734	38980.862	300	109	28	7
28	25682.799	11619.287	175940.125	407451.688	9630281.837	45061.092	300	109	28	7
32	31770.644	14807.858	179286.065	398929.955	11225116.86	64820.469	300	109	28	7
36	25967.953	11752.591	181965.563	375714.236	8479736.025	41108.731	300	109	28	7
40	26351.06	13646.194	164725.503	386210.364	11234851.61	67276.324	300	109	28	7
44	26137.289	13168.918	167678.892	369926.305	9706444.749	6912.062	300	109	28	7
48	29551.634	17028.417	168820.868	372990.501	10879228.6	66430.276	300	109	28	7
52	26409.213	12822.271	167599.3	356981.066	8629211.674	61274.885	300	109	28	7
56	29456.01	17861.172	157003.463	380984.49	12131757.9	80297.088	300	109	28	7
60	40529.986	15401.937	162909.821	360006.427	9544633.725	51565.951	300	109	28	7
64	27021.019	14750.01	156677.755	343917.867	10980518.21	69146.238	300	109	28	7
68	27452.22	14131.3	161089.164	340029.7	9787086.485	53791.195	300	109	28	7
72	27762.195	14368.18	161204.115	328634.446	9894100.04	57353.529	300	109	28	7
76	28674.609	15161.746	161299.746	342511.859	9874179.623	55530.916	300	109	28	7
80	28760.828	16041.366	153089.053	342196.313	11391234.47	71106.642	300	109	28	7
84	28699.378	12664.041	172972.291	338566.991	7258594.255	32974.51	300	109	28	7
88	29474.762	16284.135	155157.12	329561.482	11577422.44	98126.38	300	109	28	7
92	30750.515	14749.147	167692.802	313702.635	8255033.245	45716.845	300	109	28	7
