	ketene (A)	ethanol (A)	Acetaldehyde (A)	acetone (A)	Acetic acid (A)	acetic anhydride (A)				
Time	Peak area	Peak area	Peak area	Peak area	Peak area	Peak area	T	N2	H2	aa
0	7323.828	3602.936	25479.607	39180.145	257230.135	3532.942	300	109	28	7
4	5485.172	3131.834	28306.299	19886.121	165685.601	675.834	300	109	28	7
8	8533.372	5603.975	20079.417	597311.452	8904759.132	30391.843	300	109	28	7
12	9861.58	10033.098	17297.444	610398.927	10236300.56	66069.814	300	109	28	7
16	8070.41	8503.423	14565.616	600073.343	8590976.435	52084.416	300	109	28	7
20	8122.944	9978.909	14068.687	617372.647	10465304.06	67097.724	300	109	28	7
24	8245	9673.786	13588.418	597246.754	9163620.038	61519.808	300	109	28	7
28	8696.142	10661.125	14918.088	614764.094	10389276.04	69058.339	300	109	28	7
32	7640.119	9546.713	12258.344	584975.208	10002095.83	71789.803	300	109	28	7
36	7884.814	10509.836	11787.997	619641.094	11127413.67	74846.376	300	109	28	7
40	7526.001	9548.333	12314.455	588318.975	9403065.282	70659.995	300	109	28	7
44	10498.267	14428.989	18587.735	599261.103	10547337.25	71644.5	300	109	28	7
48	7739.763	10075.457	12023.855	574851.65	10119027.95	100400.902	300	109	28	7
52	15227.833	13308.325	14654.717	611717.177	11448734.86	80793.33	300	109	28	7
56	9401.158	12122.171	15231.474	580971.306	10239203.63	67791.016	300	109	28	7
60	6583.013	9156.713	11548.116	315098.399	10507614.12	71838.616	300	109	28	7
64	9684.751	13184.104	16853.939	588399.427	10228143.28	76115.701	300	109	28	7
68	7928.847	12161.372	12744.833	593610.136	11071357.49	76331.127	300	109	28	7
72	9332.924	13314.432	15890.685	570492.02	9578756.571	65958.268	300	109	28	7
76	7606.009	10891.86	11127.021	581446.106	10529830.64	74785.827	300	109	28	7
80	8159.056	12212.13	12773.565	574656.377	11396675.48	79078.63	300	109	28	7
84	7894.408	12497.771	11649.954	584062.527	1098.603	87431.828	300	109	28	7
88	14375.741	9456.495	10988.55	579347.417	10655937.68	74537.929	300	109	28	7
92	7625.712	11432.721	11517.557	568616.038	10645230.12	94681.787	300	109	28	7
96	9842.497	14212.729	18533.512	567067.97	10271139.23	73873.071	300	109	28	7
100	7606.299	11798.469	11460.029	566568.22	11136448.01	87879.163	300	109	28	7
104	8866.132	13339.83	15415.978	569353.273	10547627.86	75517.747	300	109	28	7
108	9189.133	13730.33	13735.119	565917.36	11071583.97	81230.582	300	109	28	7
112	7807.352	12550.77	12085.061	565262.381	11149427.84	81883.978	300	109	28	7
116	10131.321	14454.319	16619.003	556128.566	11415880.08	81775.404	300	109	28	7
120	7571.529	11418.797	11148.854	548774.263	10835279.45	80397.032	300	109	28	7
124	12162.733	13103.074	14025.36	550359.219	11263599.84	81087.174	300	109	28	7
128	7664.182	10591.463	10943.255	524710.602	9888858.111	71903.363	300	109	28	7
132	7487.097	11721.05	11402.334	541829.508	11679363.84	89297.351	300	109	28	7
136	8018.808	10384.391	11134.087	536032.842	9761839.822	71515.858	300	109	28	7
140	7326.276	10976.399	10145.924	541870.487	11285868.29	82895.519	300	109	28	7
144	7435.623	10998.817	11007.1	537174.974	10386001.88	88361.154	300	109	28	7
148	9710.891	14777.105	15939.063	546545.973	11040159.66	81006.318	300	109	28	7
152	8000.912	11929.176	11963.679	531351.813	10548600.96	85117.513	300	109	28	7
156	7402.921	11529.014	11620.065	534953.665	10310076.82	72596.33	300	109	28	7
160	8531.218	12808.777	12499.295	529124.283	10656010.22	82935.092	300	109	28	7
164	7429.945	11158.677	11344.036	527646.359	9772504.569	68690.858	300	109	28	7
168	8106.091	10806.081	11824.928	611691.257	10036945.97	72190.72	310	109	28	7
172	10020.683	10567.415	12685.669	840418.735	10619058.31	66130.252	310	109	28	7
176	11524.901	11169.624	15196.499	786505.935	9492340.244	63676.919	310	109	28	7
180	9736.59	10190.052	13102.484	820189.385	9488263.629	58763.177	310	109	28	7
184	10286.525	10814.5	13154.654	860509.038	10019823.32	65497.303	310	109	28	7
188	9879.506	11281.25	12658.267	828306.267	10735641.11	108488.087	310	109	28	7
192	10453.617	10517.72	12630.317	851077.693	9692008.736	67236.735	310	109	28	7
196	10137.872	11323.797	12773.606	835640.25	11028117.81	92517.404	310	109	28	7
200	17063.847	13769.097	16639.155	833986.009	9444380.024	64086.566	310	109	28	7
204	11207.712	10707.596	12770.374	825297.07	9843777.33	77531.028	310	109	28	7
208	10921.237	12006.087	14930.158	852354.2	9835786.659	65411.997	310	109	28	7
212	11443.696	12820.123	15284.316	836165.03	10197580.82	78703.931	310	109	28	7
216	9882.52	10660.409	12493.046	823062.135	10114023.07	67820.314	310	109	28	7
220	12322.203	12200.497	17942.644	829893.58	9183537.932	60169.193	310	109	28	7
224	9867.182	10875.7	12638.095	832709.543	10039541.31	66614.219	310	109	28	7
228	12766.514	11100.395	15137.177	830100.074	8692817.848	54401.457	310	109	28	7
232	9816.966	10532.63	12066.051	817115.677	9746037.99	65915.076	310	109	28	7
236	9804.905	10588.345	11672.426	833042.54	10553646.52	68589.194	310	109	28	7
240	9850.817	10965.964	12490.164	822249.834	10113879.71	92569.302	310	109	28	7
244	10343.93	10499.84	12074.148	819239.22	9378740.098	63341.3	310	109	28	7
248	9917.422	11273.978	12076.455	814046.078	10486816.76	85099.88	310	109	28	7
252	13003.154	14162.472	19402.146	844523.794	9801136.358	60884.244	310	109	28	7
256	17664.708	12431.141	14809.675	818820.916	10280732.87	67740.249	310	109	28	7
260	9582.418	9556.21	12773.872	788920.803	8508642.273	55094.752	310	109	28	7
264	11735.91	12563.059	15487.347	819124.601	9884513.478	77390.365	310	109	28	7
268	9726.548	10052.964	12383.206	805541.124	1227.814	54693.59	310	109	28	7
272	9898.914	11121.536	12720.573	802923.281	10180638.34	68450.98	310	109	28	7
276	9703.584	10049.382	12328.719	788076.903	8952465.188	58192.642	310	109	28	7
