	ketene (A)	ethanol (A)	Acetaldehyde (A)	acetone (A)	Acetic acid (A)	acetic anhydride (A)				
Injection date	Peak area	Peak area	Peak area	Peak area	Peak area	Peak area	T	H2	N2	AA
0	6684.434	2549.782	37964.82	48205.165	95972.162	1433.066	300	28	109	7
4	4338.873	903.541	28512.629	18981.494	108720.16	279.325	300	28	109	7
8	3861.377	570.936	27061.215	25035.787	64754.01	248.161	300	28	109	7
12	6512.781	7205.289	26297.951	500853.697	9914215.246	68271.195	300	28	109	7
16	8818.598	11899.606	31855.62	505602.868	9779841.819	66044.477	300	28	109	7
20	6419.554	9879.134	21848.947	489972.962	10583545.16	89585.042	300	28	109	7
24	6598.704	9765.2	21857.119	496849.829	9274819.704	57948.443	300	28	109	7
28	17659.058	12904.781	24055.946	485145.033	11247611.15	84687.292	300	28	109	7
32	6262.61	9812.555	20478.878	477665.426	9229775.752	60975.219	300	28	109	7
36	28813.466	13981.563	24246.051	483118.684	10829486.8	80669.352	300	28	109	7
40	6555.64	10647.212	20389.989	473790.283	9106083.224	68051.089	300	28	109	7
44	9166.003	14786.131	27329.057	472788.604	10465813.31	80877.663	300	28	109	7
48	8044.707	10731.94	21066.083	464265.259	9129838.875	68348.268	300	28	109	7
52	6182.176	11997.555	19797.539	464315.9	10465697.14	79118.71	300	28	109	7
56	7713.345	11441.985	20452.387	449522.945	8851407.911	84940.758	300	28	109	7
60	6349.533	12450.883	20294.948	464575.121	10600157.87	83363.436	300	28	109	7
64	7531.91	12246.854	22501.206	447715.527	8797737.445	89101.388	300	28	109	7
68	6429.048	13192.628	17946.678	461143.881	12369088.77	99336.516	300	28	109	7
72	8054.822	11434.959	22122.769	444784.376	8253754.712	63682.033	300	28	109	7
76	5916.478	11227.145	17020.524	455755.183	10226820.04	80476.496	300	28	109	7
80	5829.717	10105.683	18169.92	449617.276	8395355.445	63166.224	300	28	109	7
84	6032.174	12373.579	18798.86	449195.423	10888094.32	116134.533	300	28	109	7
88	5741.321	9885.779	19424.403	444650.795	7670936.985	61665.98	300	28	109	7
92	6281.474	13247.902	19748.628	453912.834	11073814.29	112486.734	300	28	109	7
96	6067.96	11813.39	20699.786	432608.545	8976407.984	73324.89	300	28	109	7
100	7621.572	15433.04	23721.525	448782.046	10507971.1	84126.027	300	28	109	7
104	29735.361	14629.749	25496.918	428577.32	9869859.706	79749.275	300	28	109	7
108	7700.652	15844.646	23344.664	444684.701	10758548.97	88147.557	300	28	109	7
112	6965.468	14023.96	22726.281	447446.514	10120961.35	80013.354	300	28	109	7
116	6145.972	13447.771	20194.832	446666.348	11211379.8	92372.144	300	28	109	7
120	5967.971	12379.25	18967.141	432329.305	10579247.97	178.723	300	28	109	7
124	5817.778	12375.072	18290.128	438493.164	11119266.67	93106.372	300	28	109	7
