	ketene (A)	ethanol (A)	Acetaldehyde (A)	acetone (A)	Acetic acid (A)	acetic anhydride (A)				
Injection date	Peak area	Peak area	Peak area	Peak area	Peak area	Peak area	T	N2	H2	aa
0	7221.058	2076.058	29277.002	46522.72	82900.578	1053.146	300	109	28	7
4	3388.025	738.98	25009.035	18203.311	39308.45	779.333	300	109	28	7
8	6509.93	1966.199	22566.396	58769.865	56284.633	836.749	300	109	28	7
12	6870.219	7452.085	23998.062	426873.231	9712917.47	68555.015	300	109	28	7
16	6406.827	7325.923	20434.618	428064.031	7860853.572	60048.941	300	109	28	7
20	6821.606	10227.652	20982.152	459997.549	11046239.17	92934.925	300	109	28	7
24	13389.257	12602.325	26348.416	430849.346	7670753.007	62817.244	300	109	28	7
28	7084.378	11963.025	20929.125	461741.388	11079055.7	114591.02	300	109	28	7
32	10162.113	10409.384	24234.731	418966.03	7641220.979	62384.16	300	109	28	7
36	38872.818	13973.837	21441.864	448978.078	11359952.38	100844.482	300	109	28	7
40	6256.412	9764.029	20739.626	408131.825	7452921.052	63265.629	300	109	28	7
44	8901.105	12658.729	21268.413	438351.854	9781593.661	90240.96	300	109	28	7
48	6346.734	10291.8	20962.466	431877.232	8144287.007	68474.257	300	109	28	7
52	6517.243	12162.407	20008.181	433162.385	10795649.93	96781.414	300	109	28	7
56	6455.667	11232.627	20851.155	419995.155	9038335.231	78291.432	300	109	28	7
60	8298.314	14030.869	25721.154	423865.522	9452730.095	85474.372	300	109	28	7
64	6493.134	10244.333	23240.532	403381.525	7221217.488	80915.689	300	109	28	7
68	8882.662	16381.356	27153.47	445083.44	12252939.03	114421.52	300	109	28	7
72	6512.714	11732.676	23258.838	404517.143	8654351.17	110518.244	300	109	28	7
76	8863.308	17580.698	27688.6	425162.089	10520792.56	95632.439	300	109	28	7
80	6911.697	11809.58	22802.933	388464.696	8896338.438	95775.354	300	109	28	7
84	6305.383	12372.618	20429.095	407531.925	10325589.22	97656.867	300	109	28	7
88	8911.63	13768.837	21548.907	407579.725	10162642.15	114871.427	300	109	28	7
92	6254.788	12282.405	20176.334	408266.877	10190074.61	90652.843	300	109	28	7
96	6354.969	13074.355	20792.789	422255.955	10814080.82	142720.515	300	109	28	7
100	6301.243	13014.416	19880.031	395524.1	11461461.96	110468.618	300	109	28	7
104	11664.438	14430.218	25299.832	405736.583	11001237.77	103049.96	300	109	28	7
108	6288.63	12824.513	20461.013	400921.151	10897180.5	100820.561	300	109	28	7
112	6223.956	12006.544	21075.875	395042.098	9716467.621	89659.952	300	109	28	7
116	6616.171	14440.529	19758.1	409657.057	13181728.6	139471.899	300	109	28	7
120	8877.418	16541.593	29403.212	413021.961	11105459.96	110699.322	300	109	28	7
124	6480.281	12705.629	21182.377	394964.428	9662448.265	91682.796	300	109	28	7
128	6867.316	12737.288	21035.325	384880.719	10278390.41	100967.692	300	109	28	7
132	27275.716	14844.005	25371.178	389763.989	9840629.867	94093.825	300	109	28	7
136	6359.064	13264.716	20772.394	399582.829	10744654.73	101981.517	300	109	28	7
140	6217.065	13397.682	19416.507	388651.848	11186084.51	106937.346	300	109	28	7
144	6269.882	13623.34	20307.052	388492.893	11060847.56	108741.185	300	109	28	7
148	6402.188	13260.27	22093.725	393829.344	10369632.16	97173.705	300	109	28	7
152	5987.718	11703.172	20771.729	372143.184	9612251.078	89482.201	300	109	28	7
156	6307.469	13414.081	19653.138	394783.509	11097827.36	107872.622	300	109	28	7
160	6279.417	12990.329	20816.825	389452.55	10430494.57	100140.294	300	109	28	7
164	23039.431	17452.422	27941.912	384848.604	10525899.44	97610.281	300	109	28	7
168	7447.924	15133.423	22345.655	427297.118	11657534.72	133621.491	300	109	28	7
172	8922.889	14685.149	24346.715	605715.494	9801112.314	90475.611	300	109	28	7
176	8878.63	13552.581	25024.559	530335.79	8797106.855	83639.113	300	109	28	7
180	7804.668	13637.754	23108.413	581015.527	9895639.881	92722.486	300	109	28	7
184	9092.459	15621.714	24974.16	597635.958	10623020.26	121838.294	300	109	28	7
188	7919.354	14044.552	22592.927	576969.568	10516824.39	100711.372	300	109	28	7
192	9449.087	16119.958	24475.029	601632.505	10901641.19	110419.942	300	109	28	7
196	7786.296	12254.423	23616.491	567857.193	8498710.252	80900.619	300	109	28	7
200	11019.525	18712.218	26704.161	605013.946	12650623.05	132081.783	300	109	28	7
204	7903.757	12778.246	23643.286	566836.7	8574715.077	119686.601	300	109	28	7
208	8564.695	17071.688	21753.483	593031.106	13020588.2	137986.801	300	109	28	7
212	8694.828	12592.25	27496.23	542103.551	6978796.48	63523.388	300	109	28	7
216	10515.692	17571.59	31313.114	569957.962	10771151.44	109174.63	300	109	28	7
220	9111.398	17023.544	24004.34	556499.455	11464985.96	128409.206	300	109	28	7
224	8295.374	15392.201	22359.687	557332.487	11155120.77	115652.388	310	109	28	7
228	8127.44	14043.071	24064.335	556010.926	9260267.991	117046.88	310	109	28	7
232	8505.026	17350.674	20407.757	587274.761	13500951.88	143371.002	310	109	28	7
236	9313.305	15175.171	26270.09	568981.999	9279117.397	92894.68	310	109	28	7
240	8204.464	15956.347	20708.762	562389.85	12020461.69	128467.555	310	109	28	7
244	7915.857	14220.45	20800.931	554300.154	10271018.59	111996.452	310	109	28	7
248	7973.99	14180.899	21773.801	528836.424	9791654.614	107680.122	310	109	28	7
252	10065.763	16137.543	26708.55	546295.725	8674933.229	88617.78	310	109	28	7
256	8412.621	18036.516	18575.384	577002.207	13462367.79	177014.772	310	109	28	7
260	10337.453	15539.011	29746.247	521065.765	7995345.072	95214.237	310	109	28	7
264	8156.012	15925.158	20824.143	554735.12	11222258.12	112701.113	310	109	28	7
268	8158.512	15501.848	21439.577	531759.002	10576488.98	109524.854	310	109	28	7
272	12016.593	17646.607	25067.694	552946.341	10632488.68	110174.493	310	109	28	7
276	8504.793	17622.355	21867.88	570038.778	11508619.93	118948.825	310	109	28	7
280	26005.422	22112.215	22600.695	562017.317	13709362.11	146392	310	109	28	7
284	8383.553	17800.258	19711.639	569389.375	12314485.16	126345.615	310	109	28	7
288	8411.683	17045.988	20907.152	574839.746	11482988.6	113476.07	310	109	28	7
292	8180.955	14093.142	21985.236	534496.058	8605096.783	82947.852	310	109	28	7
296	7922.509	15018.791	19323.95	537627.157	10177886.79	106878.647	310	109	28	7
300	7978.785	15626.723	19260.536	533459.512	10852056.61	111812.426	310	109	28	7
304	9993.61	19052.059	19708.206	563981.1	12812352.3	141562.384	310	109	28	7
308	8107.223	15564.43	19642.637	517898.876	10476383.61	173214.477	310	109	28	7
312	25642.08	19942.492	25679.362	559934.909	11877806.52	127333.296	310	109	28	7
316	10104.28	17069.509	23271.864	556295.709	9630612.837	100133.572	310	109	28	7
320	8566.225	17682.939	20299.799	551947.42	11158892.48	115109.419	310	109	28	7
324	8891.951	16713.204	22065.877	537531.581	10132543.86	101463.893	310	109	28	7
328	8533.517	17459.349	20500.782	545587.1	10972427.01	107199.234	310	109	28	7
332	9072.387	17961.48	22449.977	547766.62	10714547.24	114369.197	310	109	28	7
336	11628.087	17594.557	24369.433	884366.15	9680317.659	95650.458	310	109	28	7
340	35929.055	19708.644	25162.558	680811.06	10737433.92	111764.424	310	109	28	7
344	11126.134	18010.587	22871.713	855667.183	9934752.392	99723.072	310	109	28	7
348	10628.54	16863.56	23527.63	780493.045	9040170.474	91915.454	310	109	28	7
352	11101.66	19276.421	21915.635	815045.151	11372123.94	130396.988	310	109	28	7
356	11138.406	18801.969	21337.567	818109.545	10580090.47	11916.15	310	109	28	7
360	11109.024	20120.849	20749.772	827826.9	11601007.45	133782.22	310	109	28	7
364	13673.229	22435.134	28275.819	802943.234	10857075.43	114352.251	310	109	28	7
368	20376.546	21118.349	23126.921	837395.717	10875437.2	142909.522	310	109	28	7
372	10681.411	17209.163	21410.526	788882.691	9139879.939	92514.137	310	109	28	7
376	13629.069	20827.255	24492.6	821720.485	10574205.32	105595.333	310	109	28	7
380	10952.492	18636.862	20532.15	811480.691	10075275.6	102175.072	310	109	28	7
384	12743.031	19524.005	23313.236	776235.136	9098419.099	96073.109	310	109	28	7
388	10893.483	18711.943	19028.174	775005.627	10631392.16	117496.647	320	109	28	7
392	10453.992	16646.994	20004.858	782831.807	8911023.475	114243.359	320	109	28	7
396	10746.867	19614.678	17717.752	807463.941	11315991.33	127597.432	320	109	28	7
400	10121.689	15646.811	18496.073	759656.798	8245370.223	82611.79	320	109	28	7
404	10635.524	19523.743	16938.288	792875.822	11550699.51	143832.944	320	109	28	7
408	13541.85	20179.46	23758.911	778350.205	9957821.522	105656.988	320	109	28	7
412	10332.919	18146.78	16922.933	789718.391	10353295.61	115835.491	320	109	28	7
416	11817.004	19361.773	21983.186	777736.508	9927581.974	102802.627	320	109	28	7
420	11785.701	20709.25	19262.53	791609.559	11432603.08	122434.138	320	109	28	7
424	11509.417	18026.419	22203.197	749071.288	8614704.633	88540.599	320	109	28	7
428	54977.788	19258.438	19860.646	751797.88	9429383.909	105806.927	320	109	28	7
432	13414.738	21900.872	25752.849	756303.261	9662199.957	105125.874	320	109	28	7
436	10140.665	16959.087	17096.688	737478.516	9492843.983	101287.753	320	109	28	7
440	10056.651	16668.914	16894.938	736397.632	8867813.177	97878.81	320	109	28	7
444	10405.115	18351.112	16503.331	751744.035	10810032.08	125377.484	320	109	28	7
448	10235.566	17293.067	17216.793	747282.65	9182295.712	98494.696	320	109	28	7
452	10574.511	20285.489	15898.323	772444.035	11943620.43	132959.249	320	109	28	7
456	10289.526	18257.259	17092.138	745986.989	10151282.73	130814.946	320	109	28	7
460	13049.495	23106.997	24246.874	776001.339	10308546.02	112170.05	320	109	28	7
464	10368.233	18460.518	16941.829	755438.157	9763549.806	106727.744	320	109	28	7
468	10722.208	20197.149	16748.503	761126.098	11368604.8	129782.963	320	109	28	7
472	10293.786	17942.386	17417.651	750626.95	9393331.766	124114.159	320	109	28	7
476	10528.098	18909.841	17044.138	726897.04	10602001.19	121375.79	320	109	28	7
480	10126.91	15305.436	19556.046	692999.223	7091202.639	71717.472	320	109	28	7
484	10582.509	18757.373	17635.811	730532.266	9545868.564	102251.446	320	109	28	7
488	11963.081	20172.966	20744.009	734439.519	9020639.667	93521.404	320	109	28	7
492	10563.648	19094.264	16589.663	732668.558	10315650.11	117346.708	320	109	28	7
496	12727.935	15380.531	17179.972	696996.996	7450032.221	78219.639	320	109	28	7
500	11846.093	17951.094	17769.775	878724.514	9053316.666	110282.562	320	109	28	7
504	12430.892	15125.816	18560.284	992939.764	7218300.355	74972.906	320	109	28	7
508	13875.038	18218.483	18997.943	1087610.455	8675466.022	115606.6	320	109	28	7
512	15008.567	16548.95	25834.022	970638.903	5941345.487	59879.99	320	109	28	7
516	15583.844	22924.582	21436.466	1134594.034	11056907.36	146227.985	320	109	28	7
520	13236.614	15352.628	19557.685	1012126.6	6670467.659	71181.544	320	109	28	7
524	15781.229	24268.608	20300.171	1138434.798	11230600.24	140911.617	320	109	28	7
528	13437.33	17777.998	19210.847	1031988.349	8273255.254	92337.964	320	109	28	7
532	15912.983	24256.35	20202.867	1136592.711	11360886.5	129726.419	320	109	28	7
536	13254.796	14412.811	19693.406	977429.825	6142022.274	66615.778	320	109	28	7
540	14184.411	22353.741	19234.772	1106241.162	11098427.4	133316.393	320	109	28	7
544	13254.458	14724.785	21170.883	955643.196	5834377.048	70001.09	320	109	28	7
548	14440.584	21139.962	18012.417	1119267.705	10182721.61	117065.361	320	109	28	7
552	13565.498	18596.323	19152.225	1008805.55	8642170.185	110413.064	320	109	28	7
556	15356.641	23966.008	20363.091	1128676.805	10528670.37	122292.55	330	109	28	7
560	13965.213	18320.103	20562.631	1009188	8203985.472	99177.863	330	109	28	7
564	14552.733	23826.767	18750.933	1107738.048	11187867.66	123509.572	330	109	28	7
568	14325.803	15761.202	23205.52	941618.338	5987065.564	60502.708	330	109	28	7
572	14222.537	22162.663	18887.008	1081785.737	10079656.4	111503.484	330	109	28	7
576	14909.669	17150.099	22806.092	940598.952	6421218.917	66692.196	330	109	28	7
580	16165.929	25960.266	24270.5	1087020.353	10057755.83	112279.661	330	109	28	7
584	16247.567	20312.205	21782.075	1042569.959	7769109.629	86127.424	330	109	28	7
588	13923.287	22261.913	17212.075	1080664.3	10224708.13	119979.7	330	109	28	7
592	13769.726	16972.624	19538.143	967444.1	7559151.211	85034.901	330	109	28	7
596	14617.033	24039.303	18357.6	1103251.136	11589723.33	130326.24	330	109	28	7
600	14175.042	21910.691	18233.376	1063225.724	10158146.86	113319.831	330	109	28	7
604	14496.049	24135.706	18921.747	1079793.413	10740549.74	123641.827	330	109	28	7
608	15806.222	21175.498	23093.196	967235.175	8182088.416	91948.524	330	109	28	7
612	14350.596	22554.99	19441.31	1044933.734	10067398.64	137373.925	330	109	28	7
616	16728.751	25345.791	26336.725	1041624.011	9339878.026	101122.99	330	109	28	7
620	14926.184	26148.666	18992.937	1086109.8	11725282.08	127511.687	330	109	28	7
624	14548.509	23196.329	19296.698	1063885.25	9779671.95	105977.69	330	109	28	7
628	14976.021	25638.2	18725.554	1055691.604	11924951.16	139530.065	330	109	28	7
632	14156.246	21334.062	19128.892	1026868.83	9111269.732	103414.316	330	109	28	7
636	15217.02	24111.856	19343.057	1026921.044	10947426.27	128375.942	330	109	28	7
640	14096.769	20311.125	19353.261	994687.955	8174943.789	96958.829	330	109	28	7
644	14375.773	23120.828	17850.84	1060748.683	10086123.15	110187.402	330	109	28	7
648	14217.383	22115.144	18586.065	1019567.084	9181583.635	116222.032	330	109	28	7
652	16668.834	24651.264	24184.599	1030531.013	9457344.348	104400.805	330	109	28	7
656	12313.463	22768.152	3315.645	1070854.514	12098352.14	141196.023	330	109	28	7
660	14078.198	23808.037	17194.94	1015880.744	10278161.6	117768.508	330	109	28	7
664	15340.516	25065.641	18907.661	1040708.454	9512349.063	168164.751	330	109	28	7
668	20070.75	26526.523	20421.397	1713721.638	10800838.54	119261.365	330	109	28	7
672	17206.391	21634.185	19780.825	1323123.885	8233814.365	108742.067	330	109	28	7
676	18090.857	23687.109	19338.884	1475619.458	9399344.736	105959.355	330	109	28	7
680	20959.698	22151.447	23480.738	1458385.926	7357448.411	92778.323	330	109	28	7
684	18833.482	26770.856	20112.784	1556030.716	10286033.26	113652.383	330	109	28	7
688	18332.769	22073.278	19456.619	1471847.434	8651424.638	98776.649	330	109	28	7
692	18582.796	23216.475	20320.354	1477762.428	8692610.454	106220.528	330	109	28	7
696	18640.775	24242.115	19323.57	1503143.656	9218089.763	105634.348	330	109	28	7
700	18735.602	27134.843	19457.881	1544708.482	10857596.33	143495.929	330	109	28	7
704	18474.214	25083.003	19000.153	1514183.233	9616398.324	110844.853	330	109	28	7
708	18229.641	22712.791	19892.952	1454778.732	8004154.06	90504.917	330	109	28	7
712	18850.014	28270.586	17927.585	1562296.887	11808357.61	143080.747	330	109	28	7
716	18914.426	23528.611	20225.823	1428220.91	8297582.015	93071.985	330	109	28	7
