T							T	H2	N2	AA							
0	3790.511	3177.149	16125.961	10344.883	186174.928	6398.458	300	28	109	7							
4	15079.736	2442.317	19557.024	8793.672	100250.193	276.651	300	28	109	7							
8	8835.623	5025.184	18570.943	725095.959	9771256.75	28581.528	300	28	109	7							
12	9040.564	6440.786	16171.93	777163.725	11770859.19	44078.651	300	28	109	7							
16	8339.08	6559.953	14662.708	743247.707	10850344.65	58042.038	300	28	109	7							
20	10826.016	9721.151	21459.98	743555.926	12095551.04	48658.734	300	28	109	7							
24	9145.339	7601.338	15355.652	732505.355	10489900.49	43326.669	300	28	109	7							
28	8630.025	8464.664	13024.984	760000.29	14948920.37	66929.009	300	28	109	7							
32	9451.77	8466.327	15059.001	739682.678	11152448.2	46805.639	300	28	109	7							
36	8456.79	8369.406	12758.579	719290.271	13864902.97	66295.355	300	28	109	7							
40	10052.934	8933.795	16020.974	731994.348	10016420.01	35695.1	300	28	109	7							
44	8044.588	7270.898	12034.758	727692.685	10912268.39	45977.127	300	28	109	7							
48	7910.927	6942.486	11197.313	723593.567	11230368.8	54342.675	300	28	109	7							
52	7851.917	6998.489	11589.314	709667.209	10497217.83	49080.843	300	28	109	7							
56	9889.539	9413.787	13297.866	729755.55	10603541.82	43563.451	300	28	109	7							
60	7960.035	7348.687	11495.868	708355.726	11219680.2	79976.085	300	28	109	7							
64	8769.74	8110.418	12631.015	711949.727	10572634.94	42041.653	300	28	109	7							
68	8042.854	7541.98	11061.024	714221.45	11636412.75	56051.424	300	28	109	7							
72	7931.005	7481.575	11082.969	701106.664	10804244.62	46642.804	300	28	109	7							
76	7932.227	7192.279	10911.871	701454.824	10650697.25	53220.715	300	28	109	7							
80	9362.417	8701.037	12552.218	710054.228	11115024.56	50929.548	300	28	109	7							
84	16681.038	9881.058	15695.428	692350.133	10191234.13	46959.372	300	28	109	7							
88	8125.688	7786.216	11852.674	699542.614	10578545.05	46062.403	300	28	109	7							
92	8148.319	7848.408	12351.242	689899.163	10834139.09	47905.244	300	28	109	7							
96	8071.699	7932.581	11383.555	686600.131	11048019.63	51019.957	300	28	109	7							
100	7873.568	6991.785	11020.312	692450.819	10038502.58	43458.972	300	28	109	7							
104	8149.803	8218.155	11259.331	690268.169	11576971.06	67305.576	300	28	109	7							
108	10407.947	10388.016	18463.963	688868.603	10565453.25	46890.753	300	28	109	7							
112	8798.296	8940.166	11918.813	674549.261	10451839.05	59410.35	300	28	109	7							
116	8038.053	7631.117	11808.122	679664.981	10542402.62	46269.752	300	28	109	7							
120	8864.298	9470.746	12046.229	693521.875	12441767.25	68544.299	300	28	109	7							
124	8130.655	8327.95	11202.845	679319.725	11648337.89	56955.455	300	28	109	7							
128	8986.774	8634.293	13418.112	683293.55	10795541.78	51790.867	300	28	109	7							
132	7980.664	7632.293	11500.497	658947.524	10445517.26	47525.136	300	28	109	7							
136	11388.08	9957.502	13911.284	675866.037	11157934.49	54173.364	300	28	109	7							
140	7976.575	7701.947	11507.89	665404.915	10515522.05	50036.67	300	28	109	7							
144	8192.602	8220.139	11478.759	668624.434	11634895.29	57778.662	300	28	109	7							
148	8032.815	7859.275	11782.148	671634.434	10589840.49	59951.07	300	28	109	7							
152	8916.106	9018.015	13540.873	665783.194	10727768.24	55362.417	300	28	109	7							
156	7963.4	7975.3	11470.65	659970.35	10730983.96	80901.777	300	28	109	7							
160	24290.305	11724.208	17550.479	678425.345	11607836.95	56755.935	300	28	109	7							
164	8051.425	7860.325	11508.975	651986.267	10668056.46	68252.792	300	28	109	7							
168	21237.632	10034.343	19313.65	855391.925	11010967.48	48938.895	310	28	109	7							
172	12348.536	9311.43	17434.815	1004007.709	9957015.223	52247.411	310	28	109	7							
176	10915.622	8631.913	14407.279	1026524.552	10912607.35	44875.654	310	28	109	7							
180	11113.624	8954.758	14902.182	1032579.753	10933804.96	54017.493	310	28	109	7							
184	11107.95	8947.85	14743.7	1033389.583	10857291.91	46142.52	310	28	109	7							
188	15794.564	10747.16	19535.61	1043302.801	9716346.133	74541.935	310	28	109	7							
192	11101.978	8739.002	14927.075	1037515.366	10429244.11	42931.018	310	28	109	7							
196	10993.074	8206.576	14544.645	1044204.643	9939732.603	42003.574	310	28	109	7							
200	11362.063	9238.381	14871.932	1049171.55	11071667.57	56031.034	310	28	109	7							
204	11805.553	9148.657	14456.928	1055354.921	10524516.11	47446.693	310	28	109	7							
208	11314.5	9204.014	14658.423	1043728.861	10553653.93	66166.303	310	28	109	7							
212	12797.907	11091.991	18580.546	1047945.529	10711841.44	43335.066	310	28	109	7							
216	11434.276	9184.198	14968.276	1041210.875	10700439.45	63378.835	310	28	109	7							
220	12549.26	11150.897	17919.665	1040729.452	10719865.44	44783.653	310	28	109	7							
224	12700.409	10829.889	17003.383	1011925.399	10220676.56	51481.583	310	28	109	7							
228	13764.776	12250.718	17475.892	1024126.089	10352956.52	42028.315	310	28	109	7							
232	39322.644	11559.108	17440.951	1030660.725	10909158.02	56308.286	310	28	109	7							
236	12075.251	9283.271	17335.206	1014622.881	9667856.991	39832.767	310	28	109	7							
240	16517.579	10804.604	18304.029	1030566.242	11245121.78	50733.088	310	28	109	7							
244	11310.322	8342.926	13732.477	1014646.214	10419954.41	44897.914	310	28	109	7							
248	11748.98	8737.17	13088.97	1048937.65	11497188.78	53022.131	310	28	109	7							
252	11522.668	8712.012	13790.096	1016207.225	10746798.78	55710.88	310	28	109	7							
256	11710.789	8889.561	12990.852	1032792.839	11491818.45	55782.775	310	28	109	7							
260	11309.257	8164.637	13834.109	1009154.85	9819164.203	56423.475	310	28	109	7							
264	13928.351	11986.959	20984.434	1029665.113	10989769.85	49559.586	310	28	109	7							
268	11527.035	8872.912	13340.828	1012796.821	10778449.33	45622.1	310	28	109	7							
272	13979.765	12405.982	18474.143	1028932.934	11818150.23	57182.094	310	28	109	7							
276	11482.514	8566.163	13677.539	995794.404	10238670.37	47370.407	310	28	109	7							
280	11839.342	9297.296	13133.836	1012030.464	11777031.12	54618.347	310	28	109	7							
284	12157.949	9347.716	13531.448	1005648.75	10510555.13	46277	310	28	109	7							
288	11923.833	9505.89	13152.248	1007927.688	11512508.41	55191.48	310	28	109	7							
292	14071.753	11669.37	16842.843	999903.392	10498477.26	49860.957	310	28	109	7							
296	12235.181	9768.589	13405.158	1016816.963	12419092.89	69295.914	310	28	109	7							
300	12476.985	9954.762	15310.89	1015155.945	11082553.33	50502.271	310	28	109	7							
304	12218.469	9754.445	13037.436	1010025.11	12076705.46	66457.533	310	28	109	7							
308	14325.412	12746.278	18777.007	1010630.399	11205111.99	51068.541	310	28	109	7							
312	32209.325	9551.236	13270.857	1023355.451	11854754.65	2674.465	310	28	109	7							
316	16377.975	11357.004	17441.105	1009117.218	11636836.77	55788.838	310	28	109	7							
320	13783.32	11084.087	15595.965	1020334.475	11115214.53	60422.23	310	28	109	7							
324	11948.347	8883.065	13103.733	984003.435	10704797.28	49613.134	310	28	109	7							
328	23710.169	11631.588	17219.36	988448.072	10549365.68	65328.334	310	28	109	7							
332	12713.728	9519.278	13225.758	1006872.858	11336025.91	54144.64	310	28	109	7							
