time	ketene (A)	ethanol (A)	Acetaldehyde (A)	acetone (A)	Acetic acid (A)	acetic anhydride (A)	Temperature	H2 flow	N2 flow	Acid flow	
time	Peak area	Peak area	Peak area	Peak area	Peak area	Peak area	asd	asd	asd	asd	
4	23783.067	2639.172	20532.867	18190.155	109617.851	10235.504	300	109	28	7	
8	26811.438	2865.67	16201.737	20677.763	64997.521	2249.859	300	109	28	7	
12	26133.93	2994.416	16279.19	17475.85	64063.552	0	300	109	28	7	
16	30711.256	8206.99	24243.596	19666.837	116203.53	3400.987	300	109	28	7	
20	27761.74	3614.156	14646.31	17828.161	56886.007	187.473	300	109	28	7	
24	24960.675	3119.188	27616.112	17028.855	109153.74	1774.255	300	109	28	7	
28	32437.16	5381.312	85395.877	565190.606	8152314.186	37024.845	300	109	28	7	
32	33159.328	6990.994	99063.788	600489.502	11618497.29	79474.711	300	109	28	7	
36	31079.171	7150.897	101267.948	575792.553	10661831.6	74985.542	300	109	28	7	
40	30143.688	6624.088	100527.567	598664.753	11894057.06	89276.11	300	109	28	7	
44	29449.954	6803.574	101140.431	579684.001	10650544.29	144741.401	300	109	28	7	
48	34988.533	11880.189	116075.05	607359.102	11538125.15	87500.888	300	109	28	7	
52	29619.533	7428.653	100114.357	587536.818	11617993.69	107708.094	300	109	28	7	
56	29411.588	7199.417	99004.898	597132.91	11632290.66	93061.784	300	109	28	7	
60	31844.812	9482.326	105016.398	590743.735	11383743.42	95238.319	300	109	28	7	
64	28324.156	7129.218	97922.796	581973.539	11711448.95	97667.522	300	109	28	7	
68	28417.957	7319.572	99497.702	589212.507	11271261.03	94530.897	300	109	28	7	
72	28137.332	7287.014	96776.343	585073.649	11877145.5	98907.989	300	109	28	7	
76	28075.471	6666.179	97997.46	586805.777	11071340.87	94016.756	300	109	28	7	
80	27968.841	7081.048	97993.895	577947.22	10707761.13	122763.151	300	109	28	7	
84	32223.795	10808.039	108073.261	576310.616	10815426.55	87514.365	300	109	28	7	
88	29331.917	8650.241	96197.804	588144.23	12140804.8	111079.802	300	109	28	7	
92	27591.96	7552.831	95173.616	575428.339	10981016.44	90879.647	300	109	28	7	
96	27976.778	7107.685	97780.686	572757.719	10322100.64	83849.469	300	109	28	7	
100	27951.466	7470.887	95069.387	572427.096	11416264.04	97157.423	300	109	28	7	
104	31401.229	10505.358	104359.893	569059.907	10607358.61	88412.97	300	109	28	7	
108	28141.085	7679.125	95471.527	577065.964	11659469.34	97977.936	300	109	28	7	
112	28065.297	6807.253	98086.586	569668.693	10412372.27	91038.262	300	109	28	7	
116	27941.411	7615.893	96784.127	566404.417	10934459.05	129112.91	300	109	28	7	
120	33252.65	12532.75	109984.55	583471.2	11289351.3	94223.502	300	109	28	7	
124	31936.136	9870.411	101706.754	568124.496	11353166.42	102860.104	300	109	28	7	
128	27781.053	7613.634	95950.302	556677.638	10764373.92	132539.046	300	109	28	7	
132	43885.002	13670.189	101758.368	580379.739	12068597.99	106345.243	300	109	28	7	
136	29339.699	8670.588	97864.463	556940.537	10949788.67	95539.64	300	109	28	7	
140	27522.106	7694.289	91027.461	559225.66	11762877.56	102791.046	300	109	28	7	
144	27762.51	7773.632	90848.75	556653.488	11373866.72	98249.563	300	109	28	7	
148	27644.399	7628.226	89981.697	561173.837	11343679.51	100692.923	300	109	28	7	
152	35808.767	10001.464	96087.462	555951.132	11337470.41	99389.339	300	109	28	7	
156	27861.889	7823.518	89810.453	563347.169	12065224.33	135894.321	300	109	28	7	
160	27136.897	7151.903	89773.163	550345.383	11197078.88	101713.193	300	109	28	7	
164	27134.67	8421.851	89631.774	551337.263	11919123.78	114175.842	300	109	28	7	
168	27232.005	7590.136	91150.866	542679.359	11162001.33	98276.927	300	109	28	7	
172	28898.27	10293.723	91283.968	564826.789	11605193.71	121610.101	300	109	28	7	
176	27066.251	7546.022	87331.595	544972.852	11949559.35	107439.576	300	109	28	7	
180	27245.073	7448.128	89752.741	541631.703	10675594.14	93529.446	300	109	28	7	
184	27473.39	7576.592	88735.078	539527.617	11402417.65	102613.414	300	109	28	7	
188	28789.653	8985.873	94334.013	550127.916	10964129.54	98104.04	300	109	28	7	
192	26882.896	7592.542	88134.708	535856.013	11514529.82	139712.421	300	109	28	7	
196	31399.42	10997.139	101611.512	543790.944	10549526.74	91491.8	300	109	28	7	
200	27359.268	7998.311	87524.368	543118.796	11883943.9	104935.618	300	109	28	7	
204	26948.418	7277.704	89262.5	532007.745	10669717.66	95184.201	300	109	28	7	
208	29227.845	9588.2	92547.233	535401.171	11614660.81	104650.469	300	109	28	7	
212	27274.64	7702.493	90316.079	538742.262	10996429.14	96690.944	300	109	28	7	
216	26829.188	7669.985	87852.55	530009.022	11660973.71	107034.876	300	109	28	7	
220	26660.218	7560.329	86852.585	525980.164	11235128.35	105072.581	300	109	28	7	
224	27455.168	8049.555	89995.153	543045.575	11437653.09	104808.093	300	109	28	7	
228	26841.264	7606.7	86844.479	531755.01	11378769.29	153266.08	300	109	28	7	
232	30865.549	11364.67	95743.403	530119.23	11943323.53	110052.25	300	109	28	7	
236	28354.372	9833.282	91030.788	529799.542	11249511.51	124245.908	300	109	28	7	
240	27033.144	8202.544	85796.006	532993.343	12813285.55	122444.592	300	109	28	7	
244	27928.384	8393.119	90946.925	531728.495	11613571.22	112219.015	300	109	28	7	
248	26861.369	7716.116	90859.583	514791.057	10789759.03	97584.398	300	109	28	7	
252	30400.529	10510.73	95340.532	531723.954	11739163.97	107627.331	300	109	28	7	
256	27479.228	7861.173	90945.212	527016.983	10916049.61	120903.882	300	109	28	7	
264	36983.971	10016.049	88291.469	822245.538	11144251.62	110443.545	310	109	28	7	
268	48103.05	12525.897	95338.573	829826.494	10679704.35	96356.706	310	109	28	7	
272	38288.9	11345.555	89252.88	809651.151	11007235	116227.135	310	109	28	7	
276	36485.624	9988.468	85838.242	804445.984	10894891.09	100537.062	310	109	28	7	
280	38588.231	12178.829	86043.986	826619.343	11888180.19	114946.858	310	109	28	7	
284	36345.568	10015.191	84323.059	810642.543	10844214.11	102985.759	310	109	28	7	
288	36049.063	10075.31	82087.031	815936.579	11415858.3	109893.738	310	109	28	7	
292	39259.254	12338.328	85672.627	822836.063	12695121.5	126510.324	310	109	28	7	
296	36164.039	10039.438	82182.445	793774.845	10720142.16	100006.934	310	109	28	7	
300	38588.824	12113.618	87704.929	798325.537	10767656.65	106080.953	310	109	28	7	
304	36298.953	10308.351	83851.519	801207.038	10799836.26	100517.034	310	109	28	7	
308	39325.7	13124.05	88586.9	812575.925	11326642.09	107772.614	310	109	28	7	
312	36443.244	10213.975	84380.396	798362.006	10252173.88	95154.389	310	109	28	7	
316	45049.142	12856.435	91773.895	797522.286	10824865.08	103796.558	310	109	28	7	
320	36276.777	10289.165	85195.08	779077.012	10205871.76	135410.71	310	109	28	7	
324	36405.601	9822.246	83768.051	790786.6	10518941.21	103615.014	310	109	28	7	
328	36358.102	10427.272	85542.485	791528.733	10529161.24	131186.679	310	109	28	7	
332	39775.08	13645.719	90280.919	815383.397	11708901.15	112504.74	310	109	28	7	
336	36612.078	10685.397	85095.953	792786.643	10775679.63	148038.17	310	109	28	7	
340	39723.246	14392.163	92198.211	827570.713	12290220.88	118591.961	310	109	28	7	
344	37169.782	11310.67	87047.886	784936.51	10292728.09	114056.221	310	109	28	7	
348	37176.099	11246.963	84368.458	808880.274	11539383.66	112381.663	310	109	28	7	
352	38801.534	12814.031	87803.201	791192.339	11155534.76	121654.414	310	109	28	7	
356	36950.442	11260.566	81992.789	798394.832	11939769.49	117819.218	310	109	28	7	
360	38993.664	12654.194	88555.952	792314.643	10718068.32	102489.221	310	109	28	7	
364	36686.3	10968.541	83444.625	786454.227	11180924.07	107430.862	310	109	28	7	
368	55272.896	15114.209	97914.498	1257400.06	10086639.95	104088.65	320	109	28	7	
372	45509.691	13265.437	85749.213	1062624.794	11332412.9	108335.675	320	109	28	7	
376	56495.182	16392.263	97135.558	1254117.261	9820843.605	87363.799	320	109	28	7	
380	49359.947	14145.907	86899.017	1163145.86	11170270.53	116847.417	320	109	28	7	
384	51416.703	13905.692	86110.008	1239456.878	10611514.04	97411.054	320	109	28	7	
388	50772.11	14721.141	85040.556	1226237.402	11380193.21	119487.231	320	109	28	7	
392	54166.557	18065.157	97966.849	1234126.283	10408945.41	94832.185	320	109	28	7	
396	51958.67	15653.873	85523.924	1233726.839	11156025.07	110788.645	320	109	28	7	
400	50499.781	14700.096	85038.429	1227637.551	10928459	103815.891	320	109	28	7	
404	52492.745	16339.285	89424.627	1206587.024	10420499.35	98553.065	320	109	28	7	
408	50320.024	14486.524	84662.195	1210300.862	10543075.78	98807.497	320	109	28	7	
412	53631.421	17163.029	87542.88	1235908.813	11281571.51	107979.709	320	109	28	7	
416	49606.238	14583.65	81495.127	1191276.252	10764939.07	106054.9	320	109	28	7	
420	50201.727	14870.278	78685.863	1217112.44	10731795.5	104697.216	320	109	28	7	
424	50194.428	14482.893	84061.371	1211720.328	10124658.59	109912.234	320	109	28	7	
428	50777.321	15056.314	80642.166	1229031.097	11890080.2	143022.203	320	109	28	7	
432	49978.321	14671.611	81169.63	1208418.483	10471741.89	135190.774	320	109	28	7	
436	52995.37	17797.473	90078.579	1217253.612	10529171.47	98940.042	320	109	28	7	
440	49318.6	14397.554	81859.771	1167181.237	9708893.987	95781.117	320	109	28	7	
444	52404.256	17030.491	85355.952	1227637.541	11246018.21	112810.308	320	109	28	7	
448	52253.281	16670.977	82745.415	1218467.473	10582673.16	121602.695	320	109	28	7	
452	50186.378	15043.492	79936.911	1191832.428	10686019.31	103324.64	320	109	28	7	
456	52340.849	16823.994	85213.232	1192089.084	10217681.83	120889.471	320	109	28	7	
460	50461.14	15489.821	78584.444	1204532.779	11188295.28	108496.395	320	109	28	7	
464	53613.701	17944.385	82676.953	1212247.676	11131512.36	110233.068	320	109	28	7	
468	51132.447	15857.522	80092.507	1217602.75	11377128.42	113556.85	320	109	28	7	
472	56423.653	18285.317	84907.819	1221856.206	11476476.88	116006.338	320	109	28	7	
476	50999.046	15792.688	82715.621	1201658.085	11145726.5	126519.181	320	109	28	7	
480	51578.25	15254.95	83005.516	1195082.466	10726065.5	110787.268	320	109	28	7	
484	50347.155	15679.875	78722.408	1187517.871	11281760.11	133874.584	320	109	28	7	
488	55960.675	19387.956	89177.999	1227577.901	11169936.4	108385.654	320	109	28	7	
492	52197.578	16748.868	80841.719	1190887.384	10552656.84	101619.123	320	109	28	7	
496	50780.486	15707.882	78721.449	1185486.067	10871149.75	107356.147	320	109	28	7	
500	52476.859	17170.814	82879.272	1179264.624	10625685.89	112059.802	320	109	28	7	
504	50616.556	15549.684	77899.591	1183107.13	10640169.97	103245.768	320	109	28	7	
508	59872.596	18227.254	82276.055	1192651.255	10712963.66	103738.704	320	109	28	7	
512	51528.258	16400.018	79157.974	1195099.045	11678350.01	116726.155	320	109	28	7	
516	50416.453	15702.827	79255.021	1156891.991	10633331.14	105356.726	320	109	28	7	
520	51359.953	16020.719	75142.265	1192317.444	11330351.83	113403.717	320	109	28	7	
524	51469.953	16238.651	77453.737	1180407.59	10871277.56	110902.752	320	109	28	7	
528	50974.588	15956.619	72734.098	1173582.893	11251232.78	131900.342	320	109	28	7	
532	53229.05	15628	74206.56	1252597.772	10435583.2	102967.66	320	109	28	7	
536	69803.683	21388.405	83150.868	1814803.772	10288201.35	135263.241	330	109	28	7	
540	69516.648	23226.557	89149.883	1684747.157	9891370.493	95602.286	330	109	28	7	
544	67457.015	21299.655	79369.629	1750159.178	11139040.2	105602.657	330	109	28	7	
548	69880.505	21529.843	82357.608	1811126.769	10157916.56	94588.103	330	109	28	7	
552	69496.181	22471.659	82939.455	1753356.942	10202811.46	106101.432	330	109	28	7	
556	69779.085	20874.788	83227.181	1790388.976	9789095.306	90571.516	330	109	28	7	
560	69354.51	21736.003	84066.722	1779805.135	10403344.94	97810.166	330	109	28	7	
564	68981.838	20753.662	85373.015	1762296.75	9777209.512	90921.436	330	109	28	7	
568	102468.357	24737.294	88425.733	1819790.689	10973970.89	105221.909	330	109	28	7	
572	69287.463	21899.38	85206.103	1773581.164	10242407.5	96007.414	330	109	28	7	
576	85359.48	25546.397	89254.118	1815224.733	11273466.92	107456.538	330	109	28	7	
580	68359.552	21382.619	85516.363	1754287.713	9747045.099	88245.158	330	109	28	7	
584	70088.438	21378.288	85905.132	1801678.049	10168460.25	101886.325	330	109	28	7	
588	69142.803	22370.808	85447.367	1755092.673	10040190.04	114954.883	330	109	28	7	
