time	ketene (A)	ethanol (A)	Acetaldehyde (A)	acetone (A)	Acetic acid (A)	acetic anhydride (A)	Temperature	H2 flow	N2 flow	Acid flow
time	Peak area	Peak area	Peak area	Peak area	Peak area	Peak area	asd	asd	asd	asd
4	11635	2757	33799	22120	186619	0	300	28	109	7
8	12579	6643	43113	738755	11092335	62426	300	28	109	7
12	12365	9229	46142	654020	12186312	86061	300	28	109	7
16	11075	7576	42456	673301	12317472	94071	300	28	109	7
20	11510	8413	42656	647228	12598123	97811	300	28	109	7
24	10683	8147	39714	665848	12980607	114365	300	28	109	7
28	10605	7846	39352	661868	12539044	101968	300	28	109	7
32	10539	8150	38896	655207	12883172	131171	300	28	109	7
36	15971	10128	46292	662354	12577416	99681	300	28	109	7
40	13013	8364	36899	659721	13608677	114628	300	28	109	7
44	15223	15000	48525	670970	12767702	100448	300	28	109	7
48	76983	9601	38327	656380	13048518	103418	300	28	109	7
52	10853	8885	38062	658103	12448844	99513	300	28	109	7
56	10801	8568	34849	649702	12789252	120057	300	28	109	7
60	10329	8293	35531	651963	12689207	102476	300	28	109	7
64	10327	8454	35770	649715	12471937	102190	300	28	109	7
68	10454	8730	35476	657833	13166324	109627	300	28	109	7
72	18464	11069	40855	655302	13160830	106339	300	28	109	7
76	10528	8623	36413	645315	12248956	103509	300	28	109	7
80	33658	7043	35256	661470	13625161	112696	300	28	109	7
84	10392	9142	35069	646504	12818714	136743	300	28	109	7
88	42094	14311	40007	642726	13936471	117982	300	28	109	7
92	10401	8738	33619	641354	12583873	102218	300	28	109	7
96	10541	9533	34088	657981	14058254	125631	300	28	109	7
100	10352	8800	33741	627781	12465236	100978	300	28	109	7
104	10182	8944	32711	640269	12953344	106671	300	28	109	7
108	12464	11337	36284	634624	11914206	96744	300	28	109	7
112	10284	8922	32562	637889	12492257	102943	300	28	109	7
116	12948	11200	36703	634420	12711845	107348	300	28	109	7
120	10244	8649	32725	632707	11917068	99949	300	28	109	7
124	11012	8659	30428	628523	12799351	109751	300	28	109	7
128	10138	8739	30762	618834	12207562	103789	300	28	109	7
132	10036	8863	28749	639037	13388465	120872	300	28	109	7
136	10162	8845	30394	628574	12250230	103048	300	28	109	7
140	12895	12004	38360	640379	13052581	114293	300	28	109	7
144	9980	8595	29911	618663	11981207	120936	300	28	109	7
148	10223	9198	29329	627210	13097145	114459	300	28	109	7
152	11929	10213	33079	615623	11674286	90864	300	28	109	7
156	10160	9168	29565	613633	12069626	101960	300	28	109	7
160	12589	11195	35196	622553	12368106	105557	300	28	109	7
164	10030	9176	28378	621246	12914964	111923	300	28	109	7
168	25618	11075	33899	604858	11912845	102094	300	28	109	7
172	11846	9777	29853	761378	12814726	111244	300	28	109	7
176	15844	10946	30561	933744	12227307	104043	310	28	109	7
180	13436	10038	30217	946608	12040595	152345	310	28	109	7
184	21381	11550	33517	914450	11591740	94500	310	28	109	7
188	14052	11228	29955	1007412	13365995	156337	310	28	109	7
192	13219	10016	29966	949740	11850789	98236	310	28	109	7
196	16834	11730	31792	968754	12065015	96338	310	28	109	7
200	17547	16020	37178	969906	11751086	98889	310	28	109	7
204	14988	12361	32098	958246	11152555	109943	310	28	109	7
208	13629	10341	29745	946589	11592392	95593	310	28	109	7
212	15346	12472	33736	954400	12172544	102304	310	28	109	7
216	13574	10726	29216	958294	12164186	102679	310	28	109	7
220	16285	13337	33419	950501	12257203	104971	310	28	109	7
224	13520	10663	29106	941155	11789843	99084	310	28	109	7
228	13830	11621	29166	963698	12729293	111193	310	28	109	7
232	13532	10873	28362	942441	12246538	124085	310	28	109	7
236	13300	11006	26335	953202	12890577	113712	310	28	109	7
240	13581	10652	27657	944087	11588877	136430	310	28	109	7
244	15656	13839	30906	956290	12795285	113893	310	28	109	7
248	13447	11284	27157	931941	11941727	110670	310	28	109	7
252	14683	13939	29819	943766	13001413	114935	310	28	109	7
256	14206	11841	28534	937950	12468771	115084	310	28	109	7
260	13325	11035	26772	930996	12150374	105997	310	28	109	7
264	15486	12380	31306	924619	11607820	113512	310	28	109	7
268	13507	11572	26536	936892	12723603	111749	310	28	109	7
272	13362	11284	26423	917569	11638873	100747	310	28	109	7
276	13306	11484	25550	924465	12571888	111426	310	28	109	7
280	13442	11287	26030	918257	11891659	105470	310	28	109	7
284	13202	11032	25501	911597	11957018	106450	310	28	109	7
288	13327	10857	25815	922430	11947067	107887	310	28	109	7
292	14165	11752	26177	928696	12737725	114559	310	28	109	7
296	13239	10612	25248	898316	11527096	103644	310	28	109	7
300	13363	11501	25833	912344	12406029	149240	310	28	109	7
304	17202	15246	36890	931997	12510439	111764	310	28	109	7
308	29589	12153	26689	910742	12707943	181213	310	28	109	7
312	15607	13639	28883	916952	11965094	106733	310	28	109	7
316	14602	13359	27542	902974	12203138	114589	310	28	109	7
320	13446	11892	26027	892437	11991619	105876	310	28	109	7
324	35637	13626	26818	912515	12732028	117894	310	28	109	7
328	11575	2889	24870	898950	12136648	109592	310	28	109	7
332	13503	12459	25132	897502	12721617	115894	310	28	109	7
336	13381	11567	25312	900294	11767816	107354	310	28	109	7
340	20106	14433	28823	1524964	11921450	103970	320	28	109	7
344	16748	13074	26818	1217017	11961869	146120	320	28	109	7
348	18472	13541	26894	1425845	11760182	100337	320	28	109	7
352	18735	13741	27797	1368540	11665414	104812	320	28	109	7
356	21085	18445	35963	1397561	13305635	117788	320	28	109	7
360	23756	15251	29261	1374349	11508101	99547	320	28	109	7
364	18298	13780	27286	1366543	11667766	101664	320	28	109	7
368	51589	16490	29137	1378649	12047199	118991	320	28	109	7
372	18377	14149	26756	1367627	11678356	101066	320	28	109	7
376	18796	14709	27383	1346531	11721304	117977	320	28	109	7
380	18104	13508	26794	1331256	10776528	93714	320	28	109	7
384	31818	17443	31555	1334597	11295995	101023	320	28	109	7
388	18455	14145	26761	1339848	11391650	103343	320	28	109	7
392	18535	14565	26078	1373506	12173125	111261	320	28	109	7
396	18213	13904	26773	1326785	11293170	144786	320	28	109	7
400	27359	18119	34732	1372394	12187326	106437	320	28	109	7
404	18378	14633	26098	1336380	11525408	101401	320	28	109	7
408	23788	16812	31657	1353751	11991715	111413	320	28	109	7
412	84002	15182	29359	1314077	10919956	113423	320	28	109	7
416	18200	15102	25148	1341312	12253544	111091	320	28	109	7
420	19891	15768	28498	1340672	11111864	96303	320	28	109	7
424	18530	15093	26827	1336047	12098495	110260	320	28	109	7
428	20809	16905	29374	1316381	11512129	167227	320	28	109	7
432	18590	15327	25802	1319926	12056684	112890	320	28	109	7
436	23033	17529	32423	1333979	11651605	104630	320	28	109	7
440	18353	15404	25864	1324486	12426230	113807	320	28	109	7
444	18528	14791	26905	1318241	11648435	103450	320	28	109	7
448	18362	15324	25434	1315785	12496591	208767	320	28	109	7
452	20738	17669	28266	1300062	11141019	101058	320	28	109	7
456	18595	15640	25960	1306880	11847936	151064	320	28	109	7
460	21318	17796	33037	1318963	11419592	101986	320	28	109	7
464	19017	16137	26383	1315952	12313148	107992	320	28	109	7
468	18388	14943	25300	1278819	11374267	107001	320	28	109	7
472	18468	15227	25302	1294492	11997416	130417	320	28	109	7
476	18362	14910	25752	1281519	11242849	103038	320	28	109	7
480	19712	17759	26520	1305362	12397847	119375	320	28	109	7
484	18122	14866	25325	1270916	11384107	106644	320	28	109	7
488	18406	16118	24796	1292779	12489471	119169	320	28	109	7
492	18244	15091	25145	1270668	11408476	104686	320	28	109	7
496	24675	19786	28206	1286388	12069294	120385	320	28	109	7
500	18717	15175	25358	1276560	11411770	135469	320	28	109	7
504	25340	17567	28208	1843300	11825526	106614	330	28	109	7
508	22209	16607	26601	1653281	10891242	144293	330	28	109	7
512	50468	22641	38792	2010615	11124588	96239	330	28	109	7
516	25572	19525	28900	1841970	11144074	144340	330	28	109	7
520	25202	18342	27653	1901172	11300489	103548	330	28	109	7
524	25524	18260	28287	1924925	11048350	110918	330	28	109	7
528	25127	18353	28453	1896524	11516714	104417	330	28	109	7
532	25503	18076	28540	1913239	10860448	110757	330	28	109	7
536	25215	18581	27712	1891246	11173599	100302	330	28	109	7
540	27599	19744	33939	1895399	10559608	92952	330	28	109	7
544	24849	18022	27059	1877892	10720739	100413	330	28	109	7
548	25004	17299	26362	1874460	10331925	95788	330	28	109	7
552	24964	19155	26493	1886918	11471267	142865	330	28	109	7
556	24785	18685	25629	1898705	11297164	101701	330	28	109	7
560	24764	19920	25686	1908914	12099952	116594	330	28	109	7
564	26309	21433	28063	1869848	11276047	105733	330	28	109	7
568	26362	21235	28626	1870448	11352281	110947	330	28	109	7
572	27598	22795	29883	1870000	11115174	102418	330	28	109	7
576	25029	20346	26274	1893708	12101561	115574	330	28	109	7
580	26987	23206	32456	1880855	11436212	107302	330	28	109	7
584	35150	19346	25304	1860367	11300781	107440	330	28	109	7
588	24711	19441	26417	1854356	11497868	108640	330	28	109	7
592	27032	19559	24885	1838822	11559194	111771	330	28	109	7
596	24628	19619	25628	1836131	11359317	109655	330	28	109	7
600	24869	19645	24964	1873769	11887303	130933	330	28	109	7
604	24633	19161	26310	1806653	10784378	121663	330	28	109	7
608	24448	18277	25393	1799354	10228512	96207	330	28	109	7
612	24757	19991	25825	1830099	11148337	132176	330	28	109	7
616	27391	25492	34745	1858197	12102077	117693	330	28	109	7
620	24951	20898	25913	1837612	11871911	110679	330	28	109	7
624	24765	21464	25402	1839787	12168957	118921	330	28	109	7
628	24426	19725	25201	1787167	11099164	121785	330	28	109	7
632	24190	21780	23733	1840781	12867816	127979	330	28	109	7
636	26047	23275	26213	1810582	11420759	112573	330	28	109	7
640	24527	21761	24026	1879942	12560283	126313	330	28	109	7
644	26375	20569	24969	1773708	11145442	109925	330	28	109	7
648	24760	22684	24875	1876179	12860719	129564	330	28	109	7
652	26226	20308	24878	1784117	11047281	106700	330	28	109	7
656	24400	21204	25550	1789020	11576154	117091	330	28	109	7
660	25087	20852	26786	1792621	11292930	114749	330	28	109	7
664	24261	21322	25154	1771289	11712208	114944	330	28	109	7
668	25286	20839	24544	1846334	11377504	114235	330	28	109	7
672	33500	22536	29168	2605067	10111914	91125	340	28	109	7
676	36038	27227	34201	2585736	10430046	98758	340	28	109	7
680	33623	22334	29634	2363761	9672207	137099	340	28	109	7
684	33236	24334	28985	2636073	10742582	100510	340	28	109	7
688	33626	24126	30246	2528388	10029785	89258	340	28	109	7
692	32210	23934	27661	2536029	10656420	100382	340	28	109	7
696	32579	22492	28484	2525782	9537116	89333	340	28	109	7
700	33017	24721	28686	2619181	10902934	105284	340	28	109	7
704	34735	26045	30478	2548039	9955801	91563	340	28	109	7
708	32890	24698	29230	2581648	10543920	99824	340	28	109	7
712	32578	23326	29398	2488634	9685439	90572	340	28	109	7
716	32925	23866	29443	2515888	10144469	115383	340	28	109	7
720	32413	24528	28616	2495506	10351326	101042	340	28	109	7
724	32531	24365	28603	2527903	10411062	140535	340	28	109	7
728	32975	23309	27344	2466235	9612542	91880	340	28	109	7
732	32575	25772	28366	2567647	11126351	112613	340	28	109	7
736	34940	28630	31027	2536384	10158640	97705	340	28	109	7
740	33125	25694	29965	2462243	9753880	152122	340	28	109	7
744	31763	24643	27338	2456700	10106521	98981	340	28	109	7
748	34830	28933	29603	2579480	11219658	114082	340	28	109	7
752	32043	24892	27758	2457106	10008199	96542	340	28	109	7
756	35281	27849	34102	2481705	10324980	101412	340	28	109	7
760	32128	25246	28112	2457611	10120911	99953	340	28	109	7
764	36809	29588	31245	2516355	11027427	112791	340	28	109	7
768	32088	25200	28103	2425105	10247161	110583	340	28	109	7
772	32619	26885	27800	2509449	11394587	117352	340	28	109	7
776	32225	24906	29000	2398994	10045375	136936	340	28	109	7
780	34916	31288	34945	2512517	11409327	120826	340	28	109	7
784	32283	25486	28335	2403079	10127204	99638	340	28	109	7
788	32704	26416	29059	2411813	10136221	100838	340	28	109	7
792	33243	26591	30398	2369336	10798703	104561	340	28	109	7
796	31856	8541	31969	2392884	10798703	6939	340	28	109	7
800	34317	27224	30994	2392884	10018006	102354	340	28	109	7
804	32410	27951	28231	2447473	11265342	116451	340	28	109	7
808	32138	26377	28211	2389997	10273232	104010	340	28	109	7
812	32249	26971	28015	2385381	10760976	109990	340	28	109	7
816	32782	26996	30767	2369738	10004986	101623	340	28	109	7
820	31985	28060	27832	2408522	11101927	115841	340	28	109	7
824	32814	27267	27560	2428450	10693370	114524	340	28	109	7
828	31549	27877	27315	2352388	11014844	117173	340	28	109	7
832	34804	30596	34011	2377733	10819011	115621	340	28	109	7
836	47058	30876	35904	3600269	9658058	124864	350	28	109	7
840	41083	32878	34504	3007109	9612806	95533	350	28	109	7
844	42916	30891	32489	3380131	9983416	97723	350	28	109	7
848	43573	30540	33345	3434333	9542331	94132	350	28	109	7
