t																	
t							t	h2	n2	aa							
0	3779.46	1368.693	22556.941	50821.03	174793.32	38853.439	300	28	109	7							
4	4089.678	1108.243	29804.766	29439.946	158592.964	4130.108	300	28	109	7							
8	7565.079	8606.471	23462.426	303833.993	8641274.239	70353.183	300	28	109	7							
12	8126.35	12742.56	21374.63	316873.203	10341986.36	91926.927	300	28	109	7							
16	10539.543	17202.592	29201.952	326221.136	10990527.28	107674.984	300	28	109	7							
20	7739.618	13841.547	17384.233	313064.106	10750525.68	117682.724	300	28	109	7							
24	7960.705	13961.205	17958.848	310034.743	10254419.93	100198.596	300	28	109	7							
28	10206.356	16451.713	16688.007	318085.354	10801866.92	114545.846	300	28	109	7							
32	7766.204	14630.886	16812.939	308807.303	10801866.92	108686.939	300	28	109	7							
36	9992.409	16410.634	21132.999	305979.546	10446430.65	106325.836	300	28	109	7							
40	7391.928	14221.906	16207.666	302251.668	10262667.15	103053.002	300	28	109	7							
44	10378.559	16761.194	20414.406	306223.432	11192743.06	134647.51	300	28	109	7							
48	7522.682	15464.461	16798.324	303700.778	11072281.32	113853.359	300	28	109	7							
52	7613.424	15635.549	18245.795	304836.54	10508489.97	111237.595	300	28	109	7							
56	7739.445	16566.864	17054.916	305813.381	11817986.72	120995.081	300	28	109	7							
60	7462.95	15122.775	17123.516	300917.641	10408891.42	105495.498	300	28	109	7							
64	7454.044	15564.782	18490.116	290028.386	10429713.48	113830.262	300	28	109	7							
68	10849.517	19336.435	29087.093	303858.569	10192180.72	105229.281	300	28	109	7							
72	7998.668	16814.272	20313.431	296424.457	11207340.53	189010.255	300	28	109	7							
76	7916.211	16133.664	18816.885	292021.097	10525650.34	105392.07	300	28	109	7							
80	8751.77	18043.783	19904.68	291491.232	11353847.15	114514.802	300	28	109	7							
84	7216.118	15103.607	18139.651	282509.125	10214397.29	103993.923	300	28	109	7							
88	60103.759	18595.809	20326.608	292513.177	11976867.03	134271.776	300	28	109	7							
92	7406.631	15876.318	19213.018	282790.995	10305416.76	104996.805	300	28	109	7							
96	9319.189	19098.711	23034.104	291727.96	11329534.23	121237.217	300	28	109	7							
100	7547.205	16111.737	21476.989	287724.837	9942608.603	100230.826	300	28	109	7							
104	42556.025	19637.58	28475.437	288648.688	9915769.732	103706.296	300	28	109	7							
108	7650.208	15704.485	22679.297	281855.143	9163849.554	117476.902	300	28	109	7							
112	8671.717	18823.727	20444.299	290069.304	11761803.56	121126.369	300	28	109	7							
116	7873.956	16296.475	23774.157	283339.025	9035804.523	97030.946	300	28	109	7							
120	12425.653	22227.189	28093.749	300594.161	11713048.59	122237.218	300	28	109	7							
124	9499.701	18511.633	26069.839	279100.145	9552460.828	112469.919	300	28	109	7							
128	7872.204	17184.05	21928.611	279790.282	10570577.88	108913.185	300	28	109	7							
132	7534.226	16153.586	22883.283	271723.392	9131787.796	90213.807	300	28	109	7							
136	7667.473	17613.199	21131.91	274712.563	11292236.59	118096.872	300	28	109	7							
140	11734.987	19119.266	28699.828	272761.216	9192697.142	96584.458	300	28	109	7							
