							T	H2	N2	AA							
0	6155.633	4794.11	32596.105	20393.885	135182.101	0	300	28	109	7							
4	9780.473	2578.703	27316.799	621894.357	3538288.455	2280.325	300	28	109	7							
8	12129.589	10248.115	28542.885	705027.438	13282702.12	76329.211	300	28	109	7							
12	11265.511	9392.934	24820.594	696187.975	18.9	85406.022	300	28	109	7							
16	11396.199	10275.223	23511.036	705571.348	12699117.87	82839.242	300	28	109	7							
20	11269.352	10098.465	22962.656	692028.477	11384861.57	68385.473	300	28	109	7							
24	44205.276	13658.785	27424.849	729305.159	11947126.6	70631.903	300	28	109	7							
28	12241.545	11051.626	24214.005	691586.996	10585502.68	67587.541	300	28	109	7							
32	11920.696	11463.62	22622.829	715264.678	12645727.38	77285.787	300	28	109	7							
36	13579.658	12907.446	26548.25	698169.218	11558764.76	76422.266	300	28	109	7							
40	11891.953	11184.486	22268.186	691475.326	11586265.21	70251.4	300	28	109	7							
44	13628.543	14091.907	25727.143	689069.832	11470787.59	116663.84	300	28	109	7							
48	12699.647	12763.826	21898.038	706801.887	13330539.73	82446.607	300	28	109	7							
52	13804.205	12302.947	23767.807	676663.514	10395734.85	61251.73	300	28	109	7							
56	12641.232	11328.952	21524.93	674557.168	11188168.32	70081.207	300	28	109	7							
60	15203.631	14162.581	23004.786	679391.704	11520627.34	73299.892	300	28	109	7							
64	12929.733	11534.998	21244.719	670406.84	11071672.45	111816.855	300	28	109	7							
68	18716.696	13116.325	24500.968	661268.802	11832711.79	78664.27	300	28	109	7							
72	13255.89	11389.984	21528.815	662594.338	10743854.83	71105.911	300	28	109	7							
76	14477.625	12513.015	22271.923	675117.746	11781845.77	74001.754	300	28	109	7							
80	15415.657	13876.512	24063.417	663519.525	10723658.95	63936.275	300	28	109	7							
84	20794.467	14475.449	26134.269	670550.157	11976003.67	78551.182	300	28	109	7							
88	15262.586	12706.702	22605.76	648352.254	10686295.49	87565.643	300	28	109	7							
92	15968.518	14427.453	22741.797	650989.402	11719162.56	78064.858	300	28	109	7							
96	15295.616	12405.265	22619.062	643369.547	10283538.71	93401.994	300	28	109	7							
100	18557.19	17459.057	27408.445	649714.2	12233388.55	83207.135	300	28	109	7							
104	43718.099	14447.633	26662.356	654117.443	10695499.42	69262.924	300	28	109	7							
108	15345.032	12536.788	22087.375	642948.605	11103319.49	72912.702	300	28	109	7							
112	17609.547	15005.825	27987.828	635321.313	10470696.62	68657.043	300	28	109	7							
116	15759.528	13687.718	23224.842	639355.442	12220353.58	82929.935	300	28	109	7							
120	15576.275	12327.025	23230.615	652001.67	10706871.83	66021.561	300	28	109	7							
124	15597.05	12876.274	23869.876	638871.27	10673691.14	68535.576	300	28	109	7							
128	16068.833	13280.142	24059.575	639727.509	11091285.83	74786.273	300	28	109	7							
132	16034.847	13760.672	24212.8	628412.768	11811874.5	128248.678	300	28	109	7							
136	18785.952	16767.668	33775.495	639285.73	11171355.66	75833.573	300	28	109	7							
140	15878.65	13454.431	24896.357	631326.112	10710440.18	80501.019	300	28	109	7							
144	16124.435	13739.835	24613.672	633280.402	11332104.82	76429.003	300	28	109	7							
148	16317.901	14111.631	24447.583	635752.193	11512826.27	101114.626	300	28	109	7							
152	16439.385	13728.846	25287.09	620282.549	11000867.73	71722.575	300	28	109	7							
156	15830.478	12933.574	25050.445	611064.805	10032287.06	66382.816	300	28	109	7							
160	16303.009	14029.386	25332.055	614389.045	11035832.57	74360.382	300	28	109	7							
164	16331.36	13427.64	25402.883	624561.447	11068144.39	73087.85	300	28	109	7							
168	19089.327	15269.619	27293.552	739972.593	11903325.29	78921.782	310	28	109	7							
172	22152.363	13792.987	28543.37	991502.863	9826038.717	53375.326	310	28	109	7							
176	21947.988	15646.416	28321.031	932149.548	11590537.34	84968.027	310	28	109	7							
180	24419.036	16188.233	36985.515	958761.012	9192967.243	50058.657	310	28	109	7							
184	22291.421	14268.756	29232.127	939199.478	9835749.065	78323.374	310	28	109	7							
188	22804.655	14412.413	30223.766	969317.336	9767402.608	54971.572	310	28	109	7							
192	26397.353	17817.841	33277.534	990654.701	11196550.54	96308.216	310	28	109	7							
196	22151.394	13044.002	29194.592	944561.631	8272580.061	44008.835	310	28	109	7							
200	24127.585	15681.616	29240.109	985581.083	10832343.4	60057.525	310	28	109	7							
204	22355.209	12928.969	30088.685	947357.783	7928250.482	41329.444	310	28	109	7							
208	23896.925	14913.175	27922.056	958063.808	10611085.89	63083.643	310	28	109	7							
212	22866.314	13345.755	29233.554	935568.97	8304371.992	43741.252	310	28	109	7							
216	24970.74	15185.46	28084.65	986471.86	10425560.56	62749.698	310	28	109	7							
220	24286.178	14736.701	28919.204	950124.723	9783823.568	55397.955	310	28	109	7							
224	26441.708	17509.782	30286.762	960928.605	10479783.34	67965.852	310	28	109	7							
228	25150.957	15615.562	28716.115	960212.774	10507788.15	90050.409	310	28	109	7							
232	25410.968	15715.632	28440.867	958850.691	10663321.52	67025.006	310	28	109	7							
236	25520.798	15737.037	29437.669	952227.266	10134568.35	90324.638	310	28	109	7							
240	25937.994	16209.656	27973.919	959528.11	10678202.54	64278.894	310	28	109	7							
244	25548.527	15347.929	30501.067	936850.745	9213814.258	49166.57	310	28	109	7							
248	28893.114	19888.405	36130.921	958478.331	10137004.16	62073.371	310	28	109	7							
252	28447.966	15193.534	29691.643	929456.203	9159943.256	63936.912	310	28	109	7							
256	26623.848	16574.249	28089.681	947266.93	10397276.19	61952.303	310	28	109	7							
260	26237.221	16036.832	29587.416	931989.631	9202100.875	55868.747	310	28	109	7							
264	27581.604	17500.096	27745.929	945189.864	11531341.31	73381.5	310	28	109	7							
268	24952.276	14061.302	29395.692	890003.635	7977718.72	45076.902	310	28	109	7							
272	27268.616	16592.844	27972.229	942980.213	10130159.15	61571.909	310	28	109	7							
276	26743.071	15363.198	28326.507	913928.59	8809606.442	50237.595	310	28	109	7							
280	28026.445	17370.942	27274.943	941214.593	10973221.05	89721.738	310	28	109	7							
284	29108.467	17857.652	36430.798	911616.988	8810539.563	50738.928	310	28	109	7							
288	28753.956	17972.896	26956.516	947046.297	11097324.91	89222.359	310	28	109	7							
292	26486.588	15203	28445.887	885412.7	8459310.16	49263.684	310	28	109	7							
296	28945.403	17913.062	27364.727	939695.751	10882184.68	66192.933	310	28	109	7							
300	27898.193	16758.22	27828.753	891619.567	9971248.917	61975.817	310	28	109	7							
304	36003.348	20500.368	29971.536	931364.103	10034519.03	58972.499	310	28	109	7							
308	29412.972	17780.2	27249.294	937661.014	10634118.36	67469.038	310	28	109	7							
312	40393.582	20968.899	30552.349	948363.569	11304462.25	71319.417	310	28	109	7							
316	30076.913	18267.667	26883.424	937150.678	10816762.82	65983.167	310	28	109	7							
320	30946.615	18540.535	25860.916	947540.425	11627330.9	81299.082	310	28	109	7							
324	29497.33	17518.386	26987.959	917525.941	10087276.12	60425.291	310	28	109	7							
328	32001.127	20488.958	29048.786	919784.4	11229145.64	70880.262	310	28	109	7							
332	29988.526	17560.386	27540.012	923412.46	9894137.708	59232.025	310	28	109	7							
336	45317.491	25018.838	37163.55	1553945.742	10226099.82	56535.175	320	28	109	7							
340	81718.053	19647.78	31487.293	1232257.291	8886153.444	84063.327	320	28	109	7							
344	42873.542	22774.894	30847.743	1467939.233	11072648.81	61201.305	320	28	109	7							
348	42825.324	22581.635	32728.6	1398716.55	10142795.37	52012.743	320	28	109	7							
352	42232.931	22122.181	30367.311	1429470.259	10670040.27	59876.51	320	28	109	7							
356	45611.113	24015.221	32735.85	1426536.62	9581039.662	48688.542	320	28	109	7							
360	43236.306	22637.597	29835.687	1440311.513	10448727.7	55407.609	320	28	109	7							
364	45422.166	22647.244	30978.572	1412854.09	9887959.668	52633.393	320	28	109	7							
368	43267.55	22203.131	29612.971	1426002.688	10068523.48	53537.282	320	28	109	7							
372	48277.683	24490.671	31153.614	1429898.355	10213673.14	61777.226	320	28	109	7							
376	44233.732	22976.503	29396.547	1417754.818	10510792.65	56672.462	320	28	109	7							
380	48620.596	25120.744	31083.615	1444088.02	10253192.54	56383.387	320	28	109	7							
384	45746.783	24225.839	28918.087	1435895.608	11219348.37	5951.531	320	28	109	7							
388	44331.939	22094.761	28524.193	1412250.515	9495227.839	50193.944	320	28	109	7							
392	46268.882	24163.114	28884.868	1424427.119	10866620.36	62819.111	320	28	109	7							
396	46705.961	25102.368	31994.659	1413247.278	9892712.6	52994.187	320	28	109	7							
400	47946.004	25306.178	30601.651	1423538.95	9990008.466	71460.681	320	28	109	7							
404	47088.651	24332.701	28314.669	1430490.576	10684475.78	58065.263	320	28	109	7							
408	45770.754	23346.967	27985.154	1397255.812	9624042.992	51719.056	320	28	109	7							
412	45219.854	22937.7	27791.896	1363363.113	9424819.452	51131.888	320	28	109	7							
416	48114.962	25081.557	28680.088	1409883.202	10491056.63	57964.195	320	28	109	7							
420	47204.129	24347.044	27474.859	1396621.524	10219461.69	55295.995	320	28	109	7							
424	49065.41	24925.84	27066.339	1454314.622	10639523.35	57637.602	320	28	109	7							
428	48233.775	24500.654	27585.769	1414320.798	9967689.81	91245.364	320	28	109	7							
432	50528.989	27604.247	31600.533	1416786.178	10220184.5	55852.35	320	28	109	7							
436	48786.566	24958.484	27338.99	1403771.301	10230336.16	82313.272	320	28	109	7							
440	49391.323	25489.816	27190.855	1399519.057	10840094.11	60628.395	320	28	109	7							
444	48213.63	24329.021	27838.61	1376528.349	9587859.607	52423.038	320	28	109	7							
448	50060.59	26031.969	27092.744	1404727.212	10681717.7	60858.193	320	28	109	7							
452	49387.723	24557.634	27480.825	1382839.981	9554442.42	53813.208	320	28	109	7							
456	47985.295	24512.756	25712.908	1325255.458	9896250.832	55944.815	320	28	109	7							
460	48802.56	22794.345	24858.315	1344907.659	9121763.9	52618.418	320	28	109	7							
464	50480.46	24149.802	25369.398	1373930.764	10029228.51	57396.033	320	28	109	7							
468	52902.689	28351.561	29020.079	1396356.065	10410260.11	59852.826	320	28	109	7							
472	52406.802	25354.867	27532.996	1390676.277	9575474.207	51753.324	320	28	109	7							
476	51340.048	24757.103	25770.789	1368094.449	10130566.3	56738.905	320	28	109	7							
480	51966.077	25935.012	26113.925	1367258.383	10119769.23	71186.838	320	28	109	7							
484	52366.438	25587.745	25602.155	1370209.768	10457427.6	59760.694	320	28	109	7							
488	64328.664	27828.808	28790.332	1378067.745	10454044.76	73735.381	320	28	109	7							
492	53050.251	25702.353	25769.988	1371535.85	10496996.25	60855.566	320	28	109	7							
496	51350.452	23286.79	24686.025	1356404.7	8658792.416	45259.51	320	28	109	7							
500	65040.688	29127.836	31340.535	1895369.49	8810994.871	56872.077	330	28	109	7							
504	63730.09	28325.512	29722.584	1860720.796	8796290.685	43680.813	330	28	109	7							
508	70272.911	31823.58	32674.066	2090018.491	9331266.111	75388.304	330	28	109	7							
512	66604.545	28960.761	30281.119	1959136.723	8391957.578	38884.688	330	28	109	7							
516	74069.058	33032.831	33172.513	2072070.854	9302410.866	42721.269	330	28	109	7							
520	66899.9	28581.54	30493.69	2026556.308	7617281.959	35031.597	330	28	109	7							
524	72437.341	33714.019	34436.012	2053564.257	9191953.337	54153.216	330	28	109	7							
528	69872.112	32976.641	35336.384	2009769.286	7599393.362	33568.066	330	28	109	7							
532	72821.498	34272.04	34018.986	2066616.173	9034021.962	42529.453	330	28	109	7							
536	68461.098	30212.279	31562.139	1991302.852	8031603.529	35213.384	330	28	109	7							
540	78314.972	36231.132	34603.029	2087870.168	9645109.167	46801.1	330	28	109	7							
544	65595.749	28150.38	30535.32	1931590.554	6836904.053	31054.507	330	28	109	7							
548	73795.149	33258.811	31005.273	2055501.172	9715113.48	47841.657	330	28	109	7							
552	68806.414	29996.857	30623.407	1969618.714	7740049.497	50835.959	330	28	109	7							
556	75387.77	35246.771	32583.272	2086045.663	9409724.261	47611.672	330	28	109	7							
560	72646.591	32505.998	30830.605	2015443.359	9013789.215	52274.186	330	28	109	7							
564	77044.017	36408.567	33047.163	2082677.357	10207488.4	53419.102	330	28	109	7							
568	70732.798	30624.06	30269.374	1980191.995	7730513.851	35147.012	330	28	109	7							
